name,row_name,не текущий год,year
Поступление налога (млн. руб.),1113,33.04,2014
Поступление налога (млн. руб.),1113,31.6,2015
Поступление налога (млн. руб.),1113,40.3,2016
"темп роста, %",1113.1,102.7,2014
"темп роста, %",1113.1,95.6,2015
"темп роста, %",1113.1,127.7,2016
Фонд заработной платы (млн. руб.),1114,,2014
Фонд заработной платы (млн. руб.),1114,,2015
Фонд заработной платы (млн. руб.),1114,,2016
"темп роста, %",1114.1,,2014
"темп роста, %",1114.1,,2015
"темп роста, %",1114.1,,2016
Поступление налога (млн. руб.),1115,"3,463.36",2014
Поступление налога (млн. руб.),1115,"3,549.4",2015
Поступление налога (млн. руб.),1115,"3,680.8",2016
"темп роста, %",1115.1,105.1,2014
"темп роста, %",1115.1,102.5,2015
"темп роста, %",1115.1,103.7,2016
Ставка по игровым автоматам,1117,,2014
Ставка по игровым столам,1118,,2014
Количество игровых автоматов (единиц),1119,0,2014
"темп роста, %",1119.1,0.0,2014
Количество игровых столов (единиц),1120,0,2014
"темп роста, %",1120.1,0.0,2014
Количество процессинговых центров тотализаторов (единиц),1121,0,2014
"темп роста, %",1121.1,,2014
Количество процессинговых центров букмекерских контор (единиц),1122,0,2014
"темп роста, %",1122.1,,2014
Количество пунктов приема ставок тотализаторов (единиц),1123,0,2014
"темп роста, %",1123.1,,2014
Количество пунктов приема ставок букмекерских контор (единиц),1124,23,2014
"темп роста, %",1124.1,109.5,2014
Поступление налога (млн. руб.),1125,1.71,2014
"темп роста, %",1125.1,168.8,2014
