name,row_code,Поступило в консолидированный бюджет Российской Федерации: Всего,Поступило в консолидированный бюджет Российской Федерации: В % к предыдущему периоду,Поступило в консолидированный бюджет Российской Федерации: Удельный вес (%),в том числе: В федеральный бюджет: Всего,в том числе: В федеральный бюджет: В % к предыдущему периоду,в том числе: В федеральный бюджет: Удельный вес (%),в том числе: В консолидированный бюджет субъекта РФ: всего,в том числе: В консолидированный бюджет субъекта РФ: В % к предыдущему периоду,в том числе: В консолидированный бюджет субъекта РФ: Удельный вес (%),в том числе: из него: всего,в том числе: из него: В % к предыдущему периоду,year
"Акцизы по подакцизным товарам (продукции), производимым на территории Российской Федерации",506,"1,252.0",144.1,11.6,422.3,182.3,16.8,829.7,130.3,10.1,0.0,X,2015
"Акцизы по подакцизным товарам (продукции), производимым на территории Российской Федерации",506,"2,816.8",225.0,22.1,"1,241.6",294.0,38.4,"1,575.2",189.9,16.6,0.0,X,2016
на спиртосодержащую продукцию,507,0.00,X,X,0.00,X,X,0.00,X,X,-,-,2014
на спирт этиловый из всех видов сырья и спиртосодержащую продукцию,507,0.0,X,X,0.0,X,X,0.0,X,X,0.0,X,2015
на спирт этиловый из всех видов сырья и спиртосодержащую продукцию,507,0.0,X,X,0.0,X,X,0.0,X,X,0.0,X,2016
на алкогольную продукцию,508,865.75,144.1,9.1,230.47,270.0,13.4,635.28,123.3,8.1,0.0,0.0,2014
на табачную продукцию,508,0.0,0.0,X,0.0,0.0,X,X,X,X,X,X,2015
на табачную продукцию,508,11.5,0.0,0.1,11.5,0.0,0.4,X,X,X,X,X,2016
на табачную продукцию,509,0.00,0.0,X,0.00,0.0,X,X,X,X,X,X,2014
на нефтепродукты,509,0.0,X,X,X,X,X,0.0,X,X,0.0,X,2015
на нефтепродукты,509,11.1,X,0.1,0.1,X,0.0,11.0,X,0.1,0.0,X,2016
на нефтепродукты,510,0.07,1.5,0.0,0.02,1.5,0.0,0.05,1.4,0.0,0.0,X,2014
на пиво,510,244.3,101.1,2.3,X,X,X,244.3,101.1,3.0,0.0,0.0,2015
на пиво,510,459.6,188.2,3.6,X,X,X,459.6,188.2,4.8,0.0,0.0,2016
на автомобили легковые и мотоциклы,511,0.00,0.0,X,0.00,0.0,X,X,X,X,X,X,2014
на алкогольную продукцию,511,"1,007.2",161.4,9.4,422.3,183.2,16.8,584.9,148.6,7.1,0.0,0.0,2015
на алкогольную продукцию,511,"2,333.9",231.7,18.3,"1,230.0",291.3,38.0,"1,103.9",188.7,11.6,0.0,0.0,2016
Налог на имущество физических лиц,512,33.04,102.7,0.3,X,X,X,33.04,102.7,0.4,33.0,102.7,2014
на автомобили легковые и мотоциклы,512,0.0,0.0,X,0.0,0.0,X,X,X,X,X,X,2015
на автомобили легковые и мотоциклы,512,0.0,0.0,X,0.0,0.0,X,X,X,X,X,X,2016
Налог на имущество организаций,513,858.12,100.1,9.0,X,X,X,858.12,100.1,11.0,315.8,73.7,2014
Налоги на имущество,513,"1,523.9",111.8,14.2,X,X,X,"1,523.9",111.8,18.5,666.9,113.9,2015
Налоги на имущество,513,"1,564.5",102.7,12.3,X,X,X,"1,564.5",102.7,16.5,702.6,105.4,2016
Транспортный налог,514,233.70,106.2,2.5,X,X,X,233.70,106.2,3.0,0.0,0.0,2014
Налог на имущество физических лиц,514,31.6,95.6,0.3,X,X,X,31.6,95.6,0.4,31.6,95.6,2015
Налог на имущество физических лиц,514,40.3,127.7,0.3,X,X,X,40.3,127.7,0.4,40.3,127.7,2016
Налог на игорный бизнес,515,1.71,168.8,0.0,X,X,X,1.71,168.8,0.0,0.0,X,2014
Налог на имущество организаций,515,930.1,108.4,8.6,X,X,X,930.1,108.4,11.3,344.1,109.0,2015
Налог на имущество организаций,515,965.4,103.8,7.6,X,X,X,965.4,103.8,10.2,389.9,113.3,2016
Земельный налог,516,236.50,128.5,2.5,X,X,X,236.50,128.5,3.0,236.5,128.5,2014
Транспортный налог,516,269.0,115.1,2.5,X,X,X,269.0,115.1,3.3,0.0,0.0,2015
Транспортный налог,516,284.0,105.6,2.2,X,X,X,284.0,105.6,3.0,0.0,0.0,2016
Налог на добычу полезных ископаемых,517,157.49,117.6,1.7,135.01,119.9,7.9,22.48,105.3,0.3,9.4,105.9,2014
транспортный налог с организаций,517,48.4,101.8,0.4,X,X,X,48.4,101.8,0.6,0.0,0.0,2015
транспортный налог с организаций,517,50.5,104.4,0.4,X,X,X,50.5,104.4,0.5,0.0,0.0,2016
нефть,518,0.00,33.3,0.0,0.00,33.3,0.0,X,X,X,X,X,2014
транспортный налог с физических лиц,518,220.6,118.5,2.1,X,X,X,220.6,118.5,2.7,0.0,0.0,2015
транспортный налог с физических лиц,518,233.4,105.8,1.8,X,X,X,233.4,105.8,2.5,0.0,0.0,2016
газ горючий природный из всех видов месторождений углеводородного сырья,519,129.40,121.1,1.4,129.40,121.1,7.5,X,X,X,X,X,2014
Земельный налог,519,291.1,123.1,2.7,X,X,X,291.1,123.1,3.5,291.1,123.1,2015
Земельный налог,519,272.5,93.6,2.1,X,X,X,272.5,93.6,2.9,272.5,93.6,2016
газовый конденсат из всех видов месторождений углеводородного сырья,520,1.04,79.4,0.0,1.04,79.4,0.1,X,X,X,X,X,2014
Налог на добычу полезных ископаемых,520,120.5,76.5,1.1,95.9,71.1,3.8,24.5,109.1,0.3,10.1,107.7,2015
Налог на добычу полезных ископаемых,520,146.9,122.0,1.2,124.4,129.7,3.8,22.5,91.9,0.2,8.6,85.1,2016
налог на добычу прочих полезных ископаемых (за исключением полезных ископаемых в виде природных алмазов),521,11.43,103.9,0.1,4.57,103.9,0.3,6.86,103.9,0.1,0.0,X,2014
нефть,521,0.0,X,X,0.0,X,X,X,X,X,X,X,2015
нефть,521,0.0,X,X,0.0,X,X,X,X,X,X,X,2016
Водный налог,522,2.49,118.6,0.0,2.49,118.6,0.1,X,X,X,X,X,2014
газ горючий природный из всех видов месторождений углеводородного сырья,522,87.2,67.4,0.8,87.2,67.4,3.5,X,X,X,X,X,2015
газ горючий природный из всех видов месторождений углеводородного сырья,522,112.3,128.7,0.9,112.3,128.7,3.5,X,X,X,X,X,2016
Сбор за пользование объектами водных биологических ресурсов,523,0.00,40.0,0.0,0.00,0.0,X,0.00,50.0,0.0,0.0,0.0,2014
газовый конденсат из всех видов месторождений углеводородного сырья,523,3.6,346.0,0.0,3.6,346.0,0.1,X,X,X,X,X,2015
газовый конденсат из всех видов месторождений углеводородного сырья,523,6.7,185.0,0.1,6.7,185.0,0.2,X,X,X,X,X,2016
"Единый налог, взимаемый в связи с применением упрощенной системы налогообложения",524,560.97,111.0,5.9,X,X,X,560.97,111.0,7.2,176.6,69.9,2014
налог на добычу прочих полезных ископаемых (за исключением полезных ископаемых в виде природных алмазов),524,12.8,112.3,0.1,5.1,112.3,0.2,7.7,112.3,0.1,0.0,X,2015
налог на добычу прочих полезных ископаемых (за исключением полезных ископаемых в виде природных алмазов),524,13.7,106.7,0.1,5.5,106.7,0.2,8.2,106.7,0.1,0.0,X,2016
Единый налог на вмененный доход для отдельных видов деятельности,525,158.18,110.8,1.7,X,X,X,158.18,110.8,2.0,158.2,110.8,2014
Водный налог,525,3.3,132.3,0.0,3.3,132.3,0.1,X,X,X,X,X,2015
Водный налог,525,3.6,108.4,0.0,3.6,108.4,0.1,X,X,X,X,X,2016
Единый сельскохозяйственный налог,526,32.51,116.9,0.3,X,X,X,32.51,116.9,0.4,32.7,117.7,2014
Сбор за пользование объектами водных биологических ресурсов,526,0.0,450.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,2015
Сбор за пользование объектами водных биологических ресурсов,526,0.0,55.6,0.0,0.0,50.0,0.0,0.0,57.1,0.0,0.0,0.0,2016
Остальные налоги и сборы,527,81.60,104.0,0.9,36.86,80.1,2.2,44.73,138.0,0.6,44.4,139.7,2014
"Единый налог, взимаемый в связи с применением упрощенной системы налогообложения",527,630.5,112.4,5.9,X,X,X,630.5,112.4,7.6,201.3,114.0,2015
"Единый налог, взимаемый в связи с применением упрощенной системы налогообложения",527,679.5,107.8,5.3,X,X,X,679.5,107.8,7.2,306.7,152.3,2016
Единый налог на вмененный доход для отдельных видов деятельности,528,175.1,110.7,1.6,X,X,X,175.1,110.7,2.1,175.1,110.7,2015
Единый налог на вмененный доход для отдельных видов деятельности,528,173.4,99.1,1.4,X,X,X,173.4,99.1,1.8,173.4,99.1,2016
Единый сельскохозяйственный налог,529,40.1,123.3,0.4,X,X,X,40.1,123.3,0.5,39.9,121.9,2015
Единый сельскохозяйственный налог,529,78.1,194.9,0.6,X,X,X,78.1,194.9,0.8,78.1,195.8,2016
Утилизационный сбор в федеральный бюджет,530,0.0,X,-1.0,0.0,X,-1.0,X,X,X,X,X,2015
Утилизационный сбор в федеральный бюджет,530,0.0,X,X,0.0,X,X,X,X,X,X,X,2016
Остальные налоги и сборы,531,77.3,87.9,0.7,21.1,50.8,0.8,56.2,121.1,0.7,53.7,121.1,2015
Остальные налоги и сборы,531,81.9,105.9,0.6,21.1,100.1,0.7,60.7,108.0,0.6,58.1,108.1,2016
