name,row_code,value,per_with_previous_year,year
Сумма налоговых вычетов (млн. руб.),213,"17,795.4",105.8,2016
"сумма налоговых вычетов по операциям по реализации товаров (работ, услуг), обоснованность применения налоговой ставки 0 процентов по которым документально подтверждено (млн. руб.)",214,29.03,124.5,2014
"сумма налога, уплаченная при ввозе товаров на таможенную территорию РФ (млн. руб.)",214,405.4,121.9,2015
"сумма налога, уплаченная при ввозе товаров на таможенную территорию РФ (млн. руб.)",214,388.1,95.7,2016
Удельный вес вычетов в начислениях (%),215,92.78,X,2014
"сумма налоговых вычетов по операциям по реализации товаров (работ, услуг), обоснованность применения налоговой ставки 0 процентов по которым документально подтверждено (млн. руб.)",215,76.2,262.4,2015
"сумма налоговых вычетов по операциям по реализации товаров (работ, услуг), обоснованность применения налоговой ставки 0 процентов по которым документально подтверждено (млн. руб.)",215,93.4,122.6,2016
"Сумма налога, исчисленная к уплате в бюджет (млн. руб.)",216,"1,951.28",121.0,2014
Удельный вес вычетов в начислениях (%),216,90.9,X,2015
Удельный вес вычетов в начислениях (%),216,92.2,X,2016
"Сумма налога, исчисленная к возмещению из бюджета (млн. руб.)",217,817.04,89.0,2014
"Сумма налога, исчисленная к уплате в бюджет (млн. руб.)",217,"2,077.0",106.4,2015
"Сумма налога, исчисленная к уплате в бюджет (млн. руб.)",217,"2,262.4",108.9,2016
Фактически возмещено налогоплательщикам НДС (млн. руб.),218,756.69,87.6,2014
"Сумма налога, исчисленная к возмещению из бюджета (млн. руб.)",218,423.7,51.9,2015
"Сумма налога, исчисленная к возмещению из бюджета (млн. руб.)",218,760.3,179.5,2016
возмещено НДС в заявительном порядке (млн. руб.),219,16.87,0.0,2014
Фактически возмещено налогоплательщикам НДС (млн. руб.),219,386.8,51.1,2015
Фактически возмещено налогоплательщикам НДС (млн. руб.),219,657.4,170.0,2016
Налоговая база (млн. руб.),220,"45,424.68",106.0,2014
возмещено НДС в заявительном порядке (млн. руб.),220,15.8,93.8,2015
возмещено НДС в заявительном порядке (млн. руб.),220,32.8,207.3,2016
"Сумма налога, исчисленная к уплате в бюджет (млн. рублей)",221,826.91,99.9,2014
Налоговая база по ставке 13% (млн. руб.),221,"25,415.0",106.1,2015
Налоговая база по ставке 13% (млн. руб.),221,"27,273.9",107.3,2016
"Среднее значение цены нефти на мировых рынках марки ""Urals"" ($/баррель)",222,97.60,90.4,2014
Сумма исчисленного налога по ставке 13% (млн. руб.),222,"3,303.9",106.2,2015
Сумма исчисленного налога по ставке 13% (млн. руб.),222,"3,545.6",107.3,2016
Объем добычи нефти (тыс. тонн),223,0.00,0.0,2014
Налоговая база по ставке 9% (млн. руб.),223,"1,144.2",187.8,2015
Налоговая база по ставке 9% (млн. руб.),223,3.2,0.3,2016
Объем добычи природного горючего газа (млн.куб.м.),224,321.00,100.9,2014
Сумма исчисленного налога по ставке 9% (млн. руб.),224,103.0,187.3,2015
Сумма исчисленного налога по ставке 9% (млн. руб.),224,0.3,0.3,2016
Объем добычи газового конденсата (тыс. тонн),225,2.00,100.0,2014
Налоговая база по ставке 15% (млн. руб.),225,0.0,0.0,2015
Налоговая база по ставке 15% (млн. руб.),225,0.0,0.0,2016
Налоговая база,226,X,X,2014
Сумма исчисленного налога по ставке 15% (млн. руб.),226,0.0,0.0,2015
Сумма исчисленного налога по ставке 15% (млн. руб.),226,0.0,0.0,2016
доходы (млн. руб.),227,"9,587.55",105.2,2014
Налоговая база по ставке 30% (млн. руб.),227,26.6,105.4,2015
Налоговая база по ставке 30% (млн. руб.),227,24.5,92.4,2016
"доходы, уменьшенные на величину расходов (млн. руб.)",228,713.33,101.2,2014
Сумма исчисленного налога по ставке 30% (млн. руб.),228,7.9,105.4,2015
Сумма исчисленного налога по ставке 30% (млн. руб.),228,7.4,92.5,2016
"Сумма налога, подлежащая уплате (млн. руб.)",229,498.92,105.8,2014
Налоговая база по ставке 35% (млн. руб.),229,8.9,148.2,2015
Налоговая база по ставке 35% (млн. руб.),229,13.5,151.1,2016
налога с доходов (млн. руб.),230,400.74,106.9,2014
Сумма исчисленного налога по ставке 35% (млн. руб.),230,3.1,148.4,2015
Сумма исчисленного налога по ставке 35% (млн. руб.),230,4.7,151.0,2016
"налога с доходов, уменьшенных на величину расходов (млн. руб.)",231,98.18,101.5,2014
Налоговая база по иным ставкам (млн. руб.),231,2.2,190.7,2015
Налоговая база по иным ставкам (млн. руб.),231,1.9,86.4,2016
"Сумма минимального налога, подлежащая уплате (млн. руб.)",232,26.51,94.2,2014
сумма исчисленного налога по иным ставкам (млн. руб.),232,0.3,190.7,2015
сумма исчисленного налога по иным ставкам (млн. руб.),232,0.2,86.4,2016
Налоговая база (сумма исчисленного вмененного дохода) (млн. руб.),233,"2,103.32",116.9,2014
"Среднее значение цены нефти на мировых рынках марки ""Urals"" ($/баррель)",233,51.0,52.3,2015
"Среднее значение цены нефти на мировых рынках марки ""Urals"" ($/баррель)",233,41.7,81.7,2016
"Сумма единого налога на вмененный доход, подлежащая уплате за налоговый период (млн. руб.)",234,165.10,129.1,2014
Объем добычи нефти (тыс. тонн),234,0.0,0.0,2015
Объем добычи нефти (тыс. тонн),234,0,0.0,2016
Налоговая база (млн. руб.),235,501.44,92.9,2014
Объем добычи природного горючего газа (млн.куб.м.),235,293.0,91.3,2015
Объем добычи природного горючего газа (млн.куб.м.),235,380,129.7,2016
Сумма исчисленного единого сельскохозяйственного налога (млн. руб.),236,28.73,97.3,2014
Объем добычи газового конденсата (тыс. тонн),236,2.0,100.0,2015
Объем добычи газового конденсата (тыс. тонн),236,3,150.0,2016
"Количество земельных участков, учтённых в базе данных налоговых органов (единиц)",237,"149,535",101.7,2014
"Сумма налога, подлежащая уплате в бюджет (млн. руб.):",237,121.1,75.3,2015
"Сумма налога, подлежащая уплате в бюджет (млн. руб.):",237,153.7,126.9,2016
из них: по физическим лицам  (единиц),238,"144,167",101.8,2014
нефть (млн. руб.),238,0.0,0.0,2015
нефть (млн. руб.),238,0.0,0.0,2016
"Количество земельных участков, в отношении которых налогоплательщикам исчислен земельный налог к уплате (единиц)",239,"138,473",101.8,2014
природный горючий газ (млн. руб.),239,89.4,67.4,2015
природный горючий газ (млн. руб.),239,119.4,133.5,2016
из них: по физическим лицам  (единиц),240,"134,017",101.7,2014
газовый конденсат (млн. руб.),240,4.0,288.9,2015
газовый конденсат (млн. руб.),240,6.8,169.1,2016
Налоговая база  (кадастровая стоимость) (млн. руб.),241,"132,452.51",100.4,2014
Объем реализации вина (литры),241,"38,061,227",125.7,2015
Объем реализации вина (литры),241,"31,837,951",83.6,2016
из нее: по физическим лицам  (млн. руб.),242,"96,998.06",98.7,2014
Объем реализации пива (литры),242,"13,572,368",100.0,2015
Объем реализации пива (литры),242,"23,174,579",170.7,2016
"Сумма налога, подлежащая уплате в бюджет (млн. руб.)",243,295.42,121.1,2014
"Объем реализации алкогольной продукции с объемной долей этилового спирта свыше 9% (за исключением пива, вин, фруктовых вин, игристых вин (шампанских), винных напитков, изготавливаемых без добавления ректификованного этилового спирта, произведенного из пищевого сырья, и (или) спиртованных виноградного или иного фруктового сусла, и (или) винного дистиллята, и (или) фруктового дистиллята) (литры)",243,"1,721,245",203.0,2015
"Объем реализации алкогольной продукции с объемной долей этилового спирта свыше 9% (за исключением пива, вин, фруктовых вин, игристых вин (шампанских), винных напитков, изготавливаемых без добавления ректификованного этилового спирта, произведенного из пищевого сырья, и (или) спиртованных виноградного или иного фруктового сусла, и (или) винного дистиллята, и (или) фруктового дистиллята) (литры)",243,"3,670,603",213.3,2016
из нее: по физическим лицам  (млн. руб.),244,136.03,110.4,2014
"Объем реализации алкогольной продукции с объемной долей этилового спирта до 9% (за исключением пива, вин, фруктовых вин, игристых вин (шампанских), винных напитков, изготавливаемых без добавления ректификованного этилового спирта, произведенного из пищевого сырья, и (или) спиртованных виноградного или иного фруктового сусла, и (или) винного дистиллята, и (или) фруктового дистиллята) (литры)",244,0,0.0,2015
"Объем реализации алкогольной продукции с объемной долей этилового спирта до 9% (за исключением пива, вин, фруктовых вин, игристых вин (шампанских), винных напитков, изготавливаемых без добавления ректификованного этилового спирта, произведенного из пищевого сырья, и (или) спиртованных виноградного или иного фруктового сусла, и (или) винного дистиллята, и (или) фруктового дистиллята) (литры)",244,0,0.0,2016
Количество  транспортных средств в базе данных налогового органа (единиц),245,"173,926",103.5,2014
Количество налогоплательщиков (единиц),245,"1,594",100.3,2015
Количество налогоплательщиков (единиц),245,"1,637",102.7,2016
из них: наземных транспортных средств  (единиц),246,"173,466",103.5,2014
"Количество налогоплательщиков, применяющих ствку ""0""% (единиц)",246,0,0.0,2015
"Количество налогоплательщиков, применяющих ствку ""0""% (единиц)",246,0,0.0,2016
"из них: наземных транспортных средств, принадлежащих физическим лицам (единиц)",247,"163,608",103.7,2014
Среднегодовая стоимость имущества (млн. руб.),247,"62,442.8",112.3,2015
Среднегодовая стоимость имущества (млн. руб.),247,"63,734.2",102.1,2016
"Количество транспортных средств, по которым начислен налог к уплате в бюджет (единиц)",248,"162,395",103.9,2014
Кадастровая стоимость (млн. руб.),248,2.60,0.0,2015
Кадастровая стоимость (млн. руб.),248,3.1,118.1,2016
из них: наземных транспортных средств (единиц),249,"161,944",103.9,2014
Налоговая база (млн. руб.),249,"48,157.2",106.0,2015
Налоговая база (млн. руб.),249,"48,254.5",100.2,2016
"из них: наземных транспортных средств, принадлежащих физическим лицам (единиц)",250,"152,190",104.1,2014
среднегодовая стоимость имущества  (млн. руб.),250,"48,154.6",106.0,2015
среднегодовая стоимость имущества  (млн. руб.),250,"48,251.5",100.2,2016
"Сумма налога, подлежащая уплате в бюджет (млн. руб.)",251,312.98,112.7,2014
кадастровая стоимость (млн. руб.),251,3,0.0,2015
кадастровая стоимость (млн. руб.),251,3.1,118.1,2016
из нее: по наземным транспортным средствам (млн. руб.),252,311.60,112.7,2014
"Сумма налога, исчисленная к уплате в бюджет (млн. руб.)",252,928.9,112.3,2015
"Сумма налога, исчисленная к уплате в бюджет (млн. руб.)",252,977.18,105.2,2016
"из нее: по наземным транспортным средствам, принадлежащим физическим лицам (млн. руб.)",253,260.05,112.8,2014
"Количество строений, помещений и сооружений, учтённых в базе данных налоговых органов (единиц)",253,0.0,0.0,2015
"Количество строений, помещений и сооружений, учтённых в базе данных налоговых органов (единиц)",253,"197,624",107.3,2016
"Количество объектов, подлежащих налогообложению (единиц)",254,X,X,2014
"Количество строений, помещений и сооружений, находящихся в собственности физлиц, по которым предъявлен налог к уплате (единиц)",254,0.0,0.0,2015
"Количество строений, помещений и сооружений, находящихся в собственности физлиц, по которым предъявлен налог к уплате (единиц)",254,"93,972",101.8,2016
игровые автоматы (единиц),255,0,0.0,2014
"Общая инвентаризационная стоимость строений, помещений и сооружений, находящихся в собственности физических лиц, по которым предъявлен налог к уплате (млн. руб.)",255,0.0,0.0,2015
"Общая инвентаризационная стоимость строений, помещений и сооружений с учетом коэффициента-дефлятора, по которым предъявлен налог к уплате (млн. руб.)",255,"25,059.74",116.7,2016
игровые столы (единиц),256,0,0.0,2014
Общая кадастровая стоимость (млн. руб.),256,0.00,X,2015
Общая кадастровая стоимость (млн. руб.),256,0.00,X,2016
процессинговые центры тотализаторов (единиц),257,0,0.0,2014
"Сумма налога, подлежащая к уплате (млн. руб.)",257,0.00,0.0,2015
"Сумма налога, подлежащая уплате в бюджет (млн. руб.)",257,68.12,133.2,2016
процессинговые центры букмекерских контор (единиц),258,0,0.0,2014
Количество налогоплательщиков (единиц),258,0,0.0,2015
Количество налогоплательщиков (единиц),258,"164,945",106.5,2016
пункты приема ставок тотализаторов (единиц),259,0,0.0,2014
юридических лиц (единиц),259,0,0.0,2015
юридических лиц (единиц),259,"1,721",134.7,2016
пункты приема ставок букмекерских контор (единиц),260,23,109.5,2014
физических лиц (единиц),260,0,0.0,2015
физических лиц (единиц),260,"163,224",106.3,2016
"Количество строений, помещений и сооружений, учтённых в базе данных налоговых органов (единиц)",261,"140,993",102.3,2014
"Количество земельных участков, учтённых в базе данных налоговых органов (единиц)",261,0,0.0,2015
"Количество земельных участков, учтённых в базе данных налоговых органов (единиц)",261,"164,643",108.0,2016
"Количество строений, помещений и сооружений, находящихся в собственности физлиц, по которым предъявлен налог к уплате (единиц)",262,"90,303",101.9,2014
из них: по физическим лицам  (единиц),262,0,0.0,2015
из них: по физическим лицам  (единиц),262,"159,528",107.0,2016
"Общая инвентаризационная стоимость строений, помещений и сооружений, находящихся в собственности физических лиц, по которым предъявлен налог к уплате (млн. руб.)",263,"18,375.60",101.2,2014
"Количество земельных участков, в отношении которых налогоплательщикам исчислен земельный налог к уплате (единиц)",263,0,0.0,2015
"Количество земельных участков, в отношении которых налогоплательщикам исчислен земельный налог к уплате (единиц)",263,"153,303",107.8,2016
"Сумма налога, предъявленного к уплате (млн. руб.)",264,36.75,95.7,2014
из них: по физическим лицам  (единиц),264,0,0.0,2015
из них: по физическим лицам  (единиц),264,"149,300",107.0,2016
"Количество плательщиков сбора, всего (единиц)",265,1,50.0,2014
Налоговая база  (кадастровая стоимость) (млн. руб.),265,0,0.0,2015
Налоговая база (кадастровая стоимость/нормативная цена) (млн. руб.),265,"150,853.21",109.0,2016
"Сумма сбора, подлежащая уплате в бюджет (млн. руб.)",266,0.00,57.1,2014
из нее: по физическим лицам  (млн. руб.),266,0.0,0.0,2015
из нее: по физическим лицам  (млн. руб.),266,"115,734.13",108.5,2016
"Сумма налога, подлежащая уплате в бюджет (млн. руб.)",267,0.0,0.0,2015
"Сумма налога, подлежащая уплате в бюджет (млн. руб.)",267,332.42,110.5,2016
из нее: по физическим лицам  (млн. руб.),268,0.00,0.0,2015
из нее: по физическим лицам  (млн. руб.),268,177.04,115.2,2016
Количество налогоплательщиков (единиц),269,"114,181",100.0,2015
Количество налогоплательщиков (единиц),269,"111,624",97.8,2016
юридических лиц (единиц),270,"1,286",98.4,2015
юридических лиц (единиц),270,"1,311",101.9,2016
физических лиц (единиц),271,"112,895",100.0,2015
физических лиц (единиц),271,"110,313",97.7,2016
Количество  транспортных средств в базе данных налогового органа (единиц),272,"173,933",100.0,2015
Количество  транспортных средств в базе данных налогового органа (единиц),272,"171,960",98.9,2016
принадлежащих юридическим лицам (единиц),273,"9,436",95.4,2015
принадлежащих юридическим лицам (единиц),273,"9,644",102.2,2016
принадлежащих физическим лицам (единиц),274,"164,497",100.3,2015
принадлежащих физическим лицам (единиц),274,"162,316",98.7,2016
из них: наземных транспортных средств  (единиц),275,"173,506",100.0,2015
из них: наземных транспортных средств  (единиц),275,"171,624",98.9,2016
из них: принадлежащих юридическим лицам (единиц),276,"9,425",95.6,2015
из них: принадлежащих юридическим лицам (единиц),276,"9,631",102.2,2016
из них: принадлежащих физическим лицам (единиц),277,"164,081",100.3,2015
из них: принадлежащих физическим лицам (единиц),277,"161,993",98.7,2016
"Количество транспортных средств, по которым начислен налог к уплате в бюджет (единиц)",278,"160,957",99.1,2015
"Количество транспортных средств, по которым начислен налог к уплате в бюджет (единиц)",278,"158,972",98.8,2016
принадлежащих юридическим лицам (единиц),279,"9,277",94.8,2015
принадлежащих юридическим лицам (единиц),279,"9,429",101.6,2016
принадлежащих физическим лицам (единиц),280,"151,680",99.4,2015
принадлежащих физическим лицам (единиц),280,"149,543",98.6,2016
из них: наземных транспортных средств (единиц),281,"160,556",99.1,2015
из них: наземных транспортных средств (единиц),281,"158,665",98.8,2016
принадлежащих юридическим лицам (единиц),282,"9,266",95.0,2015
принадлежащих юридическим лицам (единиц),282,"9,420",101.7,2016
принадлежащих физическим лицам (единиц),283,"151,290",99.4,2015
принадлежащих физическим лицам (единиц),283,"149,245",98.6,2016
"Сумма налога, подлежащая уплате в бюджет (млн. руб.)",284,367.5,117.4,2015
"Сумма налога, подлежащая уплате в бюджет (млн. руб.)",284,373.8,101.7,2016
по юридическим лицам (млн. руб.),285,52.1,100.8,2015
по юридическим лицам (млн. руб.),285,49.54,95.2,2016
по физическим лицам (млн. руб.),286,315.5,120.7,2015
по физическим лицам (млн. руб.),286,324.23,102.8,2016
из нее: по наземным транспортным средствам (млн. руб.),287,364.6,117.0,2015
из нее: по наземным транспортным средствам (млн. руб.),287,371.4,101.9,2016
из нее: принадлежащим юридическим лицам (млн. руб.),288,52.0,100.9,2015
из нее: принадлежащим юридическим лицам (млн. руб.),288,49.5,95.2,2016
из нее: принадлежащим физическим лицам (млн. руб.),289,312.6,120.2,2015
из нее: принадлежащим физическим лицам (млн. руб.),289,321.8,103.0,2016
"Количество плательщиков сбора, всего (единиц)",290,1,100.0,2015
"Количество плательщиков сбора, всего (единиц)",290,1,100.0,2016
"Сумма сбора, подлежащая уплате в бюджет (млн. руб.)",291,0.0,125.0,2015
"Сумма сбора, подлежащая уплате в бюджет (млн. руб.)",291,0.0,140.0,2016
"Количество налогоплательщиков, сдающих декларацию по налогу, уплачиваемому в связи с применением УСН (единиц)",292,"7,327",108.9,2015
"Количество налогоплательщиков, сдающих декларацию по налогу, уплачиваемому в связи с применением УСН (единиц)",292,"7,534",102.8,2016
Налоговая база,293,X,X,2015
Налоговая база,293,X,X,2016
доходы (млн. руб.),294,"10,842.4",113.1,2015
доходы (млн. руб.),294,"12,154.0",112.1,2016
"доходы, уменьшенные на величину расходов (млн. руб.)",295,854.0,119.7,2015
"доходы, уменьшенные на величину расходов (млн. руб.)",295,964.2,112.9,2016
"Сумма налога, подлежащая уплате (млн. руб.)",296,570.4,114.3,2015
"Сумма налога, подлежащая уплате (млн. руб.)",296,627.7,110.0,2016
налога с доходов (млн. руб.),297,453.1,113.1,2015
налога с доходов (млн. руб.),297,505.1,111.5,2016
"налога с доходов, уменьшенных на величину расходов (млн. руб.)",298,117.2,119.4,2015
"налога с доходов, уменьшенных на величину расходов (млн. руб.)",298,122.6,104.6,2016
"Сумма минимального налога, подлежащая уплате (млн. руб.)",299,28.2,106.5,2015
"Сумма минимального налога, подлежащая уплате (млн. руб.)",299,30.9,109.3,2016
Количество налогоплательщиков (единиц),2100,"8,650",100.0,2015
Количество налогоплательщиков (единиц),2100,"8,529",98.6,2016
Налоговая база (сумма исчисленного вмененного дохода) (млн. руб.),2101,"2,313.3",110.0,2015
Налоговая база (сумма исчисленного вмененного дохода) (млн. руб.),2101,"2,255.9",97.5,2016
"Сумма единого налога на вмененный доход, подлежащая уплате за налоговый период (млн. руб.)",2102,179.5,108.7,2015
"Сумма единого налога на вмененный доход, подлежащая уплате за налоговый период (млн. руб.)",2102,170.6,95.0,2016
Количество налогоплательщиков (единиц),2103,852,104.9,2015
Количество налогоплательщиков (единиц),2103,963,113.0,2016
Налоговая база (млн. руб.),2104,"1,243.2",247.9,2015
Налоговая база (млн. руб.),2104,"1,387.9",111.6,2016
Сумма исчисленного единого сельскохозяйственного налога (млн. руб.),2105,68.3,237.8,2015
Сумма исчисленного единого сельскохозяйственного налога (млн. руб.),2105,71.2,104.3,2016
Количество выданных патентов (единиц),2106,94,164.9,2015
"Количество ИП, применяющих ПСН (единиц)",2106,113,134.5,2016
"Количество ИП, применяющих ПСН (единиц)",2107,84,131.3,2015
Количество выданных патентов (единиц),2107,132,140.4,2016
